id,name,n,july_share,E1_t5,E1_n,E2_t5,E2_n,E3_t5,E3_n,E4_t5,E4_n,ex_t5,incC_t5
T30,below_ema9_slope_still_steep_neg,685,0.5489051094890511,3.482587064676612,587.0,1.731160896130346,67.0,-2.39520958083832,17.0,,14.0,0.26259151865200003,1.6397084075425838
T31,new_low_rsi_falling,219,0.5707762557077626,5.051813471502586,167.0,0.9417989417989325,14.0,-1.526717557251911,11.0,,27.0,0.057686568686726725,1.756249167795243
T32,vol_expand_on_new_low,93,0.40860215053763443,4.597701149425282,75.0,1.1428571428571344,5.0,1.6753019934157676,2.0,,11.0,0.736218231584862,1.3550683539753416
T33,rs10_still_deteriorating,213,0.5164319248826291,4.867256637168138,129.0,1.731160896130346,27.0,0.2732240437158362,25.0,,32.0,0.44447250103458735,0.7532312271648856
T34,reclaim_ema9_after_nb20_low,18,0.7222222222222222,2.048802946592998,14.0,3.0952380952380953,4.0,,,,,0.3231283973721466,-0.3299366533362047
T35,rsi_rising_after_nb20_low,228,0.7017543859649122,3.3747412008281574,194.0,1.382488479262678,19.0,-2.7419856831621567,6.0,,9.0,0.07313946997296039,-0.1917095369821098
T36,slope_cross_after_nb20_low,0,,,,,,,,,,,
T37,dryup_then_expand_after_low,30,0.6666666666666666,3.296703296703307,21.0,2.321428571428563,6.0,-6.343283582089554,1.0,,2.0,0.5032244855887796,-0.22760706113108542
T38,obv_green_and_reclaim_ema9,22,0.5,2.4309392265193353,11.0,2.483393719806759,10.0,,,,1.0,0.5619127191707873,-0.554135400346345
T39,early_confirm_at_low,391,0.4219948849104859,3.896144966952342,314.0,1.6091644204851763,20.0,-1.6144226084131907,16.0,,41.0,0.3052366713502619,1.1533013804126968
T40,late_confirm_d1_3_reclaim_ema9,25,0.68,1.5686274509803866,18.0,3.0952380952380953,4.0,1.4084507042253502,3.0,,,1.132411151866386,-1.3379674209597292
T41,late_confirm_d1_3_slope_pos,0,,,,,,,,,,,
T42,too_extended_after_low,0,,,,,,,,,,,
T43,market_sync_plus_reclaim_ema9,7,0.7142857142857143,0.14970059880239361,7.0,,,,,,,-0.9766622786851697,-2.8011507943864533
T44,breadth_turn_slope,0,,,,,,,,,,,
T45,price_above_ema9_first_time_in_drawdown,30,0.5,1.6666666666666607,17.0,2.034949908925321,12.0,,,,1.0,-0.4193674740659237,-1.3605816226784029
