symbol,page_size,http,elapsed,n_rows,total_field,meta_keys,first_date,last_date,n_unique_dates,sample_row_keys,url,note
SIP,1000,200,12.17251706123352,760,,"['object', 'paging']",2023-08-07,2026-08-24,760,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/SIP?pageSize=1000,
MML,1000,200,2.9347641468048096,0,,"['object', 'paging']",,,0,[],https://api.hsx.vn/mk/api/v1/market/securities/foreign/MML?pageSize=1000,
VNM,1000,200,8.601165771484375,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/VNM?pageSize=1000,
VCB,1000,200,15.907490968704224,1000,,"['object', 'paging']",2022-08-19,2026-08-24,1000,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/VCB?pageSize=1000,
SHB,50,200,1.8752126693725584,50,,"['object', 'paging']",2026-06-16,2026-08-24,50,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/SHB?pageSize=50,
ACB,50,200,3.345634937286377,50,,"['object', 'paging']",2026-06-16,2026-08-24,50,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/ACB?pageSize=50,
MBB,50,200,2.3010447025299072,50,,"['object', 'paging']",2026-06-16,2026-08-24,50,"['reportDate', 'totalRoom', 'currentRoom', 'mainBuyerForeignVolume', 'mainBuyerForeignValue', 'mainSellerForeignVolume', 'mainSellerForeignValue', 'bigLotBuyerForeignVolume', 'bigLotBuyerForeignValue', 'bigLotSellerForeignVolume', 'bigLotSellerForeignValue', 'totalBuyerForeignVolume', 'totalSellerForeignVolume', 'totalbuyer', 'totalSeller', 'percent', 'bid', 'openPrice', 'closePrice', 'highPrice', 'lowPrice', 'averagePrice']",https://api.hsx.vn/mk/api/v1/market/securities/foreign/MBB?pageSize=50,
CEO,50,200,1.6054465770721436,0,,"['object', 'paging']",,,0,[],https://api.hsx.vn/mk/api/v1/market/securities/foreign/CEO?pageSize=50,
VNM,5000,200,,4402,,,2009-01-02,2026-08-24,4402,,,deep_probe
HPG,5000,200,,4402,,,2009-01-02,2026-08-24,4402,,,deep_probe
FPT,5000,200,,4402,,,2009-01-02,2026-08-24,4402,,,deep_probe
NAB,5000,200,,615,,,2024-03-07,2026-08-24,615,,,newer_listing
SIP,5000,200,,760,,,2023-08-07,2026-08-24,760,,,newer_listing
