trade_date,ticker,health_group,health_score,action_group,close,state_streak,state_l1,state_l2,state_l3,state_l4,state_l5,n_state_changes_5,n_prior5_healthy,n_prior5_rat_yeu,n_prior5_yeu_dan,prev_was_dang_hoi,prev_was_healthy,traj3,rs5,rs10,rsi14,rs5_chg_1,rs5_chg_3,rs5_chg_5,rs10_chg_1,rs10_chg_3,rs10_chg_5,rsi14_chg_1,rsi14_chg_3,rsi14_chg_5,rs5_pct,rs10_pct,rsi14_pct,rs10_minus_rs5_pct,rs5_rank_drop_3,rs5_rank_drop_5,rs10_rank_drop_3,rs10_rank_drop_5,dd5,dd10,dist_ema9,dist_ma20,volume,volume_ratio20,vol_vs_prior,obv,obv_chg_1,obv_chg_3,obv_chg_5,obv_dir_1,market_real,market_regime,vnindex_daily_return_pct,episode_id,iso_week,mature_T3,mature_T5,mature_T10,ret_T3,ret_T5,ret_T10,t5_label_eligible,n_mature_T5_date,T5_TOP10,T5_TOP20,T5_BOTTOM20,clean_T3_status,clean_T5_status,clean_T10_status,pct_DANG_HOI,pct_TRUNG_TINH,pct_YEU,pct_YEU_DAN,pct_RAT_YEU,pct_weak3,pct_YEU_DAN_chg_d1,pct_weak3_chg_d1,hhi,dominant_state
2026-08-21,OIL,🌱 ĐANG HỒI,70.5,MUA EARLY,13500.0,1,🟡 TRUNG TÍNH,🟡 TRUNG TÍNH,🌱 ĐANG HỒI,🟡 TRUNG TÍNH,⚠️ YẾU DẦN,3.0,4.0,0.0,1.0,0.0,1.0,🌱 ĐANG HỒI>🟡 TRUNG TÍNH>🟡 TRUNG TÍNH,3.05,-0.74,52.0,2.29,2.3,6.73,-3.84,-4.59,-1.51,3.490000000000002,0.10999999999999943,6.829999999999998,0.6619718309859155,0.2535211267605634,0.5140845070422535,-0.4084507042253521,0.15492957746478875,0.15492957746478875,0.5422535211267606,0.5422535211267606,0.0,-2.1739130434782594,1.0741562366872293,1.925254813137034,1625200.0,1.4312259473549795,2.240727974631187,93664400.0,1625200.0,430500.0,3101500.0,1.0,9.0,🟡 TRUNG TÍNH,1.9959388988878053,1,2026-W34,True,True,False,2.2222222222222143,2.2222222222222143,,True,142,False,True,False,MATURE,MATURE,WAITING,51.40845070422535,29.577464788732392,11.267605633802818,6.338028169014084,1.4084507042253522,19.014084507042256,-45.77464788732394,-40.84507042253521,0.3686768498313826,🌱 ĐANG HỒI
2026-08-24,OIL,🌱 ĐANG HỒI,71.1,CP MẠNH,13800.0,2,🌱 ĐANG HỒI,🟡 TRUNG TÍNH,🟡 TRUNG TÍNH,🌱 ĐANG HỒI,🟡 TRUNG TÍNH,3.0,5.0,0.0,0.0,1.0,1.0,🟡 TRUNG TÍNH>🟡 TRUNG TÍNH>🌱 ĐANG HỒI,4.55,0.0,56.75,1.5,4.55,8.899999999999999,0.74,-3.08,-0.76,4.75,6.549999999999997,9.829999999999998,0.8028169014084507,0.4612676056338028,0.6619718309859155,-0.34154929577464793,0.014084507042253502,0.014084507042253502,0.32042253521126757,0.3345070422535212,2.2222222222222143,0.0,2.638707287794473,3.8374717832957206,3559500.0,2.8153362466138057,2.1901919763721387,97223900.0,3559500.0,4459400.0,6006200.0,1.0,9.6,🟡 TRUNG TÍNH,0.0693690770556143,1,2026-W35,True,True,False,-0.7246376811594235,-2.1739130434782594,,True,142,False,False,False,MATURE,MATURE,WAITING,58.45070422535211,22.535211267605636,11.971830985915492,7.042253521126761,0.0,19.014084507042252,0.7042253521126769,-3.552713678800501e-15,0.4117238643126364,🌱 ĐANG HỒI
2026-08-25,OIL,🌱 ĐANG HỒI,75.9,MUA EARLY,13700.0,3,🌱 ĐANG HỒI,🌱 ĐANG HỒI,🟡 TRUNG TÍNH,🟡 TRUNG TÍNH,🌱 ĐANG HỒI,2.0,5.0,0.0,0.0,1.0,1.0,🟡 TRUNG TÍNH>🌱 ĐANG HỒI>🌱 ĐANG HỒI,1.48,2.24,54.8,-3.07,0.72,0.73,2.24,-0.8599999999999999,-1.6099999999999999,-1.9500000000000028,6.289999999999999,2.9099999999999966,0.45774647887323944,0.704225352112676,0.647887323943662,0.24647887323943657,0.3591549295774648,0.3591549295774648,0.06338028169014087,0.09154929577464799,-0.7246376811594235,-0.7246376811594235,1.5102051098903502,2.814258911819878,1461800.0,1.120861847528131,0.4106756566933558,95762100.0,-1461800.0,3722900.0,2528200.0,-1.0,7.4,🟡 TRUNG TÍNH,-0.0435221711983624,1,2026-W35,True,True,False,0.7299270072992803,0.0,,True,142,False,False,False,MATURE,MATURE,WAITING,38.732394366197184,25.352112676056336,21.830985915492956,14.084507042253522,0.0,35.91549295774648,7.042253521126761,16.901408450704228,0.281789327514382,🌱 ĐANG HỒI
2026-08-26,OIL,🌱 ĐANG HỒI,,PULL VỪA,13800.0,4,🌱 ĐANG HỒI,🌱 ĐANG HỒI,🌱 ĐANG HỒI,🟡 TRUNG TÍNH,🟡 TRUNG TÍNH,1.0,5.0,0.0,0.0,1.0,1.0,🌱 ĐANG HỒI>🌱 ĐANG HỒI>🌱 ĐANG HỒI,2.99,2.99,56.41,1.5100000000000002,-0.05999999999999961,2.99,0.75,3.7300000000000004,-0.08999999999999986,1.6099999999999994,4.409999999999997,6.209999999999994,0.5140845070422535,0.7535211267605634,0.6267605633802817,0.23943661971830987,0.28873239436619724,0.30281690140845074,-0.04929577464788737,0.028169014084507005,0.0,0.0,1.79,3.3320853612879064,1640400.0,1.2151291130238966,1.122178136543987,97402500.0,1640400.0,3738100.0,4638000.0,1.0,,,,1,2026-W35,True,True,False,-2.1739130434782594,-2.1739130434782594,,True,142,False,False,False,MATURE,MATURE,WAITING,48.59154929577465,23.239436619718308,12.676056338028168,15.492957746478872,0.0,28.16901408450704,1.4084507042253502,-7.74647887323944,0.3301924221384646,🌱 ĐANG HỒI
2026-08-27,OIL,🌱 ĐANG HỒI,69.1,MUA EARLY,13700.0,5,🌱 ĐANG HỒI,🌱 ĐANG HỒI,🌱 ĐANG HỒI,🌱 ĐANG HỒI,🟡 TRUNG TÍNH,1.0,5.0,0.0,0.0,1.0,1.0,🌱 ĐANG HỒI>🌱 ĐANG HỒI>🌱 ĐANG HỒI,3.01,3.79,54.33,0.019999999999999574,-1.54,2.25,0.7999999999999998,3.79,0.69,-2.0799999999999983,-2.4200000000000017,5.82,0.5070422535211268,0.7605633802816901,0.6056338028169014,0.2535211267605634,0.295774647887324,0.3098591549295775,-0.007042253521126751,0.007042253521126751,-0.7246376811594235,-0.7246376811594235,0.8424392093069555,2.4682124158563967,650700.0,0.4854828902161059,0.3966715435259693,96751800.0,-650700.0,-472100.0,4712600.0,-1.0,8.3,🟡 TRUNG TÍNH,0.5346302049598739,1,2026-W35,True,True,False,0.0,0.0,,True,142,False,False,False,MATURE,MATURE,WAITING,34.50704225352113,23.943661971830984,19.014084507042252,22.535211267605636,0.0,41.54929577464789,7.042253521126764,13.380281690140848,0.2633406070224162,🌱 ĐANG HỒI
2026-08-28,OIL,🟡 TRUNG TÍNH,67.2,PULL VỪA,13800.0,1,🌱 ĐANG HỒI,🌱 ĐANG HỒI,🌱 ĐANG HỒI,🌱 ĐANG HỒI,🌱 ĐANG HỒI,0.0,5.0,0.0,0.0,1.0,1.0,🌱 ĐANG HỒI>🌱 ĐANG HỒI>🌱 ĐANG HỒI,2.22,5.34,56.08,-0.7899999999999996,0.7400000000000002,-0.8299999999999996,1.5499999999999998,3.0999999999999996,6.08,1.75,1.2800000000000011,4.079999999999998,0.8063380281690141,0.8063380281690141,0.6830985915492958,0.0,-0.2922535211267606,-0.0035211267605633756,-0.045774647887323994,-0.045774647887323994,0.0,0.0,1.2588381355459477,2.9082774049217,15000.0,0.0117042111751808,0.023052097740894423,96766800.0,15000.0,1004700.0,3102400.0,1.0,7.6,🟡 TRUNG TÍNH,-0.2809187953765724,1,2026-W35,True,False,False,-2.1739130434782594,,,False,0,False,False,False,MATURE,WAITING,WAITING,26.056338028169012,40.140845070422536,7.042253521126761,26.056338028169012,0.7042253521126761,33.802816901408455,3.5211267605633765,-7.7464788732394325,0.3019242213846459,🟡 TRUNG TÍNH
2026-09-03,OIL,🌱 ĐANG HỒI,,PULL VỪA,13500.0,1,🟡 TRUNG TÍNH,🌱 ĐANG HỒI,🌱 ĐANG HỒI,🌱 ĐANG HỒI,🌱 ĐANG HỒI,1.0,5.0,0.0,0.0,0.0,1.0,🌱 ĐANG HỒI>🌱 ĐANG HỒI>🟡 TRUNG TÍNH,1.81,4.98,55.17,-0.41000000000000014,-1.1800000000000002,-2.7399999999999998,-0.35999999999999943,1.9900000000000002,4.98,-0.9099999999999966,-1.2399999999999949,-1.5799999999999983,0.8309859154929577,0.8169014084507042,0.7323943661971831,-0.014084507042253502,-0.02464788732394363,-0.02464788732394363,-0.010563380281690127,-0.010563380281690127,-2.1739130434782594,-2.1739130434782594,0.96,2.536837308218143,563800.0,0.430700595097133,37.586666666666666,97315600.0,548800.0,-86900.0,91700.0,1.0,6.3,🟡 TRUNG TÍNH,0.3238519722036148,2,2026-W36,True,False,False,1.4814814814814836,,,False,0,False,False,False,MATURE,WAITING,WAITING,28.87323943661972,22.535211267605636,5.633802816901409,40.845070422535215,2.112676056338028,48.591549295774655,14.788732394366203,14.7887323943662,0.3046022614560604,⚠️ YẾU DẦN
2026-09-04,OIL,🌱 ĐANG HỒI,75.9,PULL VỪA,13700.0,2,🌱 ĐANG HỒI,🟡 TRUNG TÍNH,🌱 ĐANG HỒI,🌱 ĐANG HỒI,🌱 ĐANG HỒI,2.0,5.0,0.0,0.0,1.0,1.0,🌱 ĐANG HỒI>🟡 TRUNG TÍNH>🌱 ĐANG HỒI,1.86,3.32,57.11,0.050000000000000044,-1.1499999999999997,0.3800000000000001,-1.6600000000000006,-0.4700000000000002,1.0799999999999996,1.9399999999999977,2.780000000000001,2.3100000000000023,0.8661971830985915,0.7112676056338029,0.8028169014084507,-0.15492957746478864,-0.035211267605633756,-0.035211267605633756,0.10563380281690138,0.10563380281690138,-0.7246376811594235,-0.7246376811594235,1.2209313064519112,3.2442820000753603,1244500.0,0.9108207999414498,2.2073430294430647,97867200.0,551600.0,1115400.0,2105100.0,1.0,6.3,🟡 TRUNG TÍNH,1.2800192385470366,2,2026-W36,False,False,False,,,,False,0,False,False,False,WAITING,WAITING,WAITING,21.12676056338028,24.647887323943664,5.633802816901409,47.88732394366197,0.7042253521126761,54.225352112676056,7.042253521126753,5.633802816901401,0.33792898234477287,⚠️ YẾU DẦN
2026-09-07,OIL,🟡 TRUNG TÍNH,65.4,MUA EARLY,13500.0,1,🌱 ĐANG HỒI,🌱 ĐANG HỒI,🟡 TRUNG TÍNH,🌱 ĐANG HỒI,🌱 ĐANG HỒI,2.0,5.0,0.0,0.0,1.0,1.0,🟡 TRUNG TÍNH>🌱 ĐANG HỒI>🌱 ĐANG HỒI,-0.37,2.58,52.95,-2.23,-2.5900000000000003,-3.3600000000000003,-0.7399999999999998,-2.76,-0.41000000000000014,-4.159999999999997,-3.1299999999999955,-3.4599999999999937,0.7746478873239436,0.7253521126760564,0.7816901408450704,-0.04929577464788726,0.09154929577464788,0.09154929577464788,0.09154929577464788,0.09154929577464788,-2.1739130434782594,-2.1739130434782594,-0.2055027425006184,1.4579888771982574,905000.0,0.6656981555379834,0.7271996785857774,97298500.0,-568700.0,531700.0,-104000.0,-1.0,4.3,🔴 MÙA ĐÔNG,-1.9210475308508943,2,2026-W37,False,False,False,,,,False,0,False,False,False,WAITING,WAITING,WAITING,14.084507042253522,16.901408450704224,3.5211267605633805,62.676056338028175,2.8169014084507045,69.01408450704226,14.788732394366207,14.7887323943662,0.4432652251537394,⚠️ YẾU DẦN
2026-09-08,OIL,🌱 ĐANG HỒI,68.8,PULL VỪA,13700.0,1,🟡 TRUNG TÍNH,🌱 ĐANG HỒI,🌱 ĐANG HỒI,🟡 TRUNG TÍNH,🌱 ĐANG HỒI,3.0,5.0,0.0,0.0,0.0,1.0,🌱 ĐANG HỒI>🌱 ĐANG HỒI>🟡 TRUNG TÍNH,1.86,4.9,56.37,2.23,0.050000000000000044,-1.1499999999999997,2.3200000000000003,-0.08000000000000007,1.1100000000000003,3.4199999999999946,1.1999999999999957,2.039999999999999,0.9014084507042254,0.8380281690140845,0.8309859154929577,-0.06338028169014087,-0.03521126760563387,-0.03521126760563387,-0.021126760563380254,-0.021126760563380254,-0.7246376811594235,-0.7246376811594235,1.0157614081449662,2.564102564102555,1164400.0,0.8350634867701532,1.2866298342541436,98462900.0,1164400.0,1147300.0,1711100.0,1.0,4.9,🔴 MÙA ĐÔNG,0.5321982699437067,2,2026-W37,False,False,False,,,,False,0,False,False,False,WAITING,WAITING,WAITING,19.014084507042252,16.901408450704224,4.225352112676056,57.74647887323944,2.112676056338028,64.08450704225352,-4.929577464788736,-4.929577464788736,0.4004165840111089,⚠️ YẾU DẦN
2026-07-23,ORS,⚠️ YẾU DẦN,33.3,THEO DÕI,13150.0,1,,,,,,,,,,0.0,0.0,?>?>?,-6.74,-8.04,43.7,,,,,,,,,,0.5211267605633803,0.6408450704225352,0.8732394366197183,0.11971830985915499,,,,,,,-2.836078183337609,-4.623753399818675,6678500.0,0.9596952426936132,,,,,,,,🔴 Forecast rủi ro,,1,2026-W30,True,True,True,0.3802281368821214,5.703422053231932,7.984790874524705,True,142,False,True,False,MATURE,MATURE,MATURE,2.8169014084507045,2.8169014084507045,1.4084507042253522,38.732394366197184,54.22535211267606,94.36619718309859,,,0.4458440785558421,⛔ RẤT YẾU
2026-07-24,ORS,⚠️ YẾU DẦN,48.3,TÍCH LŨY,13100.0,2,⚠️ YẾU DẦN,,,,,,0.0,0.0,1.0,0.0,0.0,?>?>⚠️ YẾU DẦN,-5.76,-4.38,43.0,0.9800000000000004,,,3.6599999999999993,,,-0.7000000000000028,,,0.5845070422535211,0.7887323943661971,0.8661971830985915,0.204225352112676,-0.06338028169014087,-0.06338028169014087,-0.14788732394366189,-0.14788732394366189,-0.38022813688213253,-0.38022813688213253,-2.927513529014669,-4.951931797569387,2864700.0,0.4149598178331179,0.4289436250655087,,,,,,,🔴 Forecast rủi ro,,1,2026-W30,True,True,True,5.343511450381677,5.725190839694649,7.6335877862595325,True,142,False,True,False,MATURE,MATURE,MATURE,2.112676056338028,8.450704225352112,3.5211267605633805,28.87323943661972,57.04225352112676,89.43661971830986,-9.859154929577464,-4.929577464788736,0.41757587780202343,⛔ RẤT YẾU
2026-07-27,ORS,⚠️ YẾU DẦN,31.1,THEO DÕI,13050.0,3,⚠️ YẾU DẦN,⚠️ YẾU DẦN,,,,0.0,0.0,0.0,2.0,0.0,0.0,?>⚠️ YẾU DẦN>⚠️ YẾU DẦN,-2.61,-4.04,42.38,3.15,,,0.33999999999999986,,,-0.6199999999999974,,,0.7253521126760564,0.8028169014084507,0.8873239436619719,0.07746478873239437,-0.14084507042253525,-0.14084507042253525,-0.014084507042253613,-0.014084507042253613,-0.760456273764254,-0.760456273764254,-2.6558904375263315,-5.1943334544133695,4089000.0,0.5852900255930195,1.4273745941983453,,,,,,,🔴 Forecast rủi ro,,1,2026-W31,True,True,True,6.513409961685834,8.045977011494255,11.111111111111116,True,142,False,False,False,MATURE,MATURE,MATURE,2.112676056338028,5.633802816901409,2.8169014084507045,38.028169014084504,51.40845070422535,92.25352112676056,9.154929577464785,2.816901408450704,0.4133108510216227,⛔ RẤT YẾU
