date,time,symbol,group,rank,score,price,is_live_adjusted
2026-05-26,2026-05-26 08:23,HAX,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,LHG,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,DBC,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,HAH,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,TNH,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,KSB,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,VJC,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,VRE,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,HDC,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,IMP,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,BAF,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,NT2,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,DHT,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,VCI,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,ELC,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,CTI,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,HHV,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,HAG,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,CII,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,DIG,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,VSC,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,ANV,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,GIL,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,DTD,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,VCG,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,SIP,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,MWG,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,SZC,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,NHA,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,KBC,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,HHS,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,DGC,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,HDG,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,TCH,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,FRT,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,TV2,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,BFC,THEO DÕI,0,,,
2026-05-26,2026-05-26 08:23,NVL,THEO DÕI,0,,,
2026-05-28,21:04:30,PAN,GÀ TĂNG TỐC,7,10.0,32900.0,True
2026-05-28,21:04:30,MSB,GÀ TĂNG TỐC,7,10.0,15100.0,True
2026-05-28,21:04:30,VND,GÀ TĂNG TỐC,7,10.0,17800.0,True
2026-05-28,21:04:30,TVN,GÀ TĂNG TỐC,7,9.0,11900.0,True
2026-05-28,21:04:30,ACB,GÀ TĂNG TỐC,7,8.0,24650.0,True
2026-05-28,21:04:30,DHA,GÀ TĂNG TỐC,7,6.0,48750.0,True
2026-05-28,21:04:30,OCB,CP MẠNH,6,6.0,11750.0,True
2026-05-28,21:04:30,SSB,PULL VỪA,3,6.0,14450.0,True
2026-05-28,21:04:30,HSG,PULL VỪA,3,6.0,12550.0,True
2026-05-28,21:04:30,LPB,PULL VỪA,3,5.0,53000.0,True
2026-05-28,21:04:30,NTP,PULL VỪA,3,5.0,60100.0,True
2026-05-28,21:04:30,VPL,PULL VỪA,3,5.0,91800.0,True
2026-05-28,21:04:30,VHM,PULL VỪA,3,4.0,157700.0,True
2026-05-28,21:04:30,VTO,PULL VỪA,3,4.0,12100.0,True
2026-05-28,21:04:30,NAB,PULL VỪA,3,3.0,12200.0,True
2026-05-28,21:04:30,VIB,MUA EARLY,2,5.0,16300.0,True
2026-05-28,21:04:30,BVS,MUA EARLY,2,5.0,26400.0,True
2026-05-28,21:04:30,BSI,MUA EARLY,2,5.0,35250.0,True
2026-05-28,21:04:30,PDR,MUA EARLY,2,5.0,16500.0,True
2026-05-28,21:04:30,PC1,MUA EARLY,2,4.0,19050.0,True
2026-05-28,21:04:30,PAC,MUA EARLY,2,4.0,22500.0,True
2026-05-28,21:04:30,SHS,MUA EARLY,2,4.0,18000.0,True
2026-05-28,21:04:30,MBS,MUA EARLY,2,4.0,19900.0,True
2026-05-28,21:04:30,AGR,MUA EARLY,2,4.0,14650.0,True
2026-05-28,21:04:30,NLG,MUA EARLY,2,4.0,26550.0,True
2026-05-28,21:04:30,VDS,MUA EARLY,2,4.0,14000.0,True
2026-05-28,21:04:30,PET,MUA EARLY,2,3.0,48850.0,True
2026-05-28,21:04:30,GAS,MUA EARLY,2,3.0,81700.0,True
2026-05-28,21:04:30,BSR,MUA EARLY,2,3.0,28500.0,True
2026-05-28,21:04:30,VCB,MUA EARLY,2,3.0,62800.0,True
2026-05-28,21:04:30,VPB,MUA EARLY,2,3.0,27300.0,True
2026-05-28,21:04:30,CTR,MUA EARLY,2,3.0,90000.0,True
2026-05-28,21:04:30,PNJ,MUA EARLY,2,3.0,65900.0,True
