Date,Close,Volume,,
22/09/2025,1634.45,1197739500,,
19/09/2025,1658.62,913867700,,
18/09/2025,1665.18,928464500,,
17/09/2025,1670.97,1049373300,,
16/09/2025,1680.9,1319212900,,
15/09/2025,1684.9,1181358200,,
12/09/2025,1667.26,1084202800,,
12/09/2025,1667.26,1084202800,,
11/09/2025,1657.75,1269787700,,
10/09/2025,1643.26,883674000,,
09/09/2025,1637.32,1071755400,,
08/09/2025,1624.53,1848629200,,
05/09/2025,1666.97,1728400600,,
04/09/2025,1696.29,1390643700,,
03/09/2025,1681.3,1312386500,,
29/08/2025,1682.21,1532188700,,
28/08/2025,1680.86,1156693000,,
27/08/2025,1673,1556991200,,
26/08/2025,1667.63,1299449100,,
25/08/2025,1614.03,1521468800,,
22/08/2025,1645.47,2340550500,,
21/08/2025,1688,1714515100,,
20/08/2025,1664.36,2374143500,,
19/08/2025,1654.2,1868022500,,
18/08/2025,1636.37,1586472600,,
15/08/2025,1630,2103515900,,
14/08/2025,1640.69,1848530200,,
13/08/2025,1611.6,1988610900,,
12/08/2025,1608.22,1655854500,,
12/08/2025,1608.22,1655854500,,
11/08/2025,1600.41,1671390800,,
08/08/2025,1584.95,1903644500,,
07/08/2025,1581.81,1678783800,,
06/08/2025,1573.71,1402150100,,
05/08/2025,1547.15,2823674400,,
04/08/2025,1528.19,1282015800,,
01/08/2025,1507.63,1438755800,,
31/07/2025,1502.52,1722965900,,
30/07/2025,1507.63,1709273500,,
29/07/2025,1493.41,2744342600,,
28/07/2025,1557.42,1852459400,,
25/07/2025,1531.13,1458409200,,
24/07/2025,1521.02,1482652900,,
23/07/2025,1512.31,1509368300,,
22/07/2025,1509.54,1288439700,,
21/07/2025,1485.05,1465463600,,
18/07/2025,1497.28,1538434500,,
17/07/2025,1490.01,1496763600,,
16/07/2025,1467.19,1284084600,,
15/07/2025,1460.65,1395724200,,
14/07/2025,1470.42,1342827200,,
11/07/2025,1457.76,1302994700,,
10/07/2025,1445.64,1132542400,,
09/07/2025,1431.32,1526744600,,
08/07/2025,1415.46,1238737500,,
