setup,source,N_rows,T3_N,T3_winrate,T3_avg,T3_median,T3_avg_MFE,T3_avg_MAE,T5_N,T5_winrate,T5_avg,T5_median,T5_avg_MFE,T5_avg_MAE,T10_N,T10_winrate,T10_avg,T10_median,T10_avg_MFE,T10_avg_MAE,evidence_quality
PULL VỪA,observations ⨝ lifecycle (UNSAFE T+1 group clock),240,240,40.0,-0.4897977064139251,-0.2066916969601373,0.9270279866300671,-1.5925294583122562,218,39.908256880733944,-1.123816396095294,-0.4347826086956496,1.490394764165903,-2.6423088100347423,134,38.80597014925373,-0.7860551127750045,-1.1198222329230232,2.637823859262659,-3.103216780068071,ADEQUATE_FOR_SETUP_BASELINE_ONLY
MUA EARLY,observations ⨝ lifecycle (UNSAFE T+1 group clock),1712,1712,39.89485981308411,-0.3667428992983161,-0.4504504504504458,0.8987429946681542,-1.4120596733493183,1664,46.03365384615385,-0.17717170152237355,-0.1914971596115089,1.8297774864892817,-2.0828870374110737,1461,42.77891854893908,-0.5359679621775142,-0.6779661016949157,3.345770450217762,-3.441544632186178,ADEQUATE_FOR_SETUP_BASELINE_ONLY
MUA BREAK,observations ⨝ lifecycle (UNSAFE T+1 group clock),36,36,22.22222222222222,-1.6309511397582757,-1.3121287602989085,0.17436054600442896,-3.2640748906846606,33,24.242424242424242,-1.5930149144687513,-1.9305019305019264,0.9791084485283256,-3.9454985354640972,28,42.857142857142854,0.4597412175525334,-2.1179290806637385,3.597879440643728,-4.576761401933072,PROVISIONAL
TÍCH LŨY,observations ⨝ lifecycle (UNSAFE T+1 group clock),525,525,48.57142857142857,0.3880930091804296,0.0,1.6706880312776298,-0.844116559267722,499,59.919839679358724,0.9563497125483026,0.961538461538458,2.736375765727848,-1.2500735482688432,416,59.375,1.817583743515949,1.0970718010429148,5.0067259506079616,-1.7108617155853791,ADEQUATE_FOR_SETUP_BASELINE_ONLY
ALL_PH_FIRST,pattern_history FIRST/day ⨝ lifecycle (QUARANTINE save-clock),1766,1766,47.621744054360136,0.11543263585210556,0.0,1.27278089210959,-1.07688963095387,1766,52.60475651189128,0.2747641284423379,0.365631934974997,2.1721133607503895,-1.7102979464890997,1766,47.67836919592299,0.031214553602226167,0.0,3.447947709255292,-3.039465214343111,ADEQUATE_FOR_SETUP_BASELINE_ONLY
CP MẠNH,pattern_history FIRST/day ⨝ lifecycle (QUARANTINE save-clock),62,62,43.54838709677419,-1.3863461744701255,-0.7806094302681532,0.13836282943385278,-2.4180502544687843,62,32.25806451612903,-1.9374103782455185,-0.7609140878940879,0.544981450855911,-3.383574095953932,62,41.935483870967744,-1.875447012048054,-0.8686229640597676,1.2613626029607643,-4.544298376325208,PROVISIONAL
PULL ĐẸP,pattern_history FIRST/day ⨝ lifecycle (QUARANTINE save-clock),1,1,100.0,0.3115264797507677,0.3115264797507677,0.6168224299065495,0.3115264797507677,1,0.0,-3.1152647975077885,-3.1152647975077885,0.6168224299065495,-3.1152647975077885,1,0.0,-2.180685358255452,-2.180685358255452,0.6168224299065495,-3.1152647975077885,INSUFFICIENT
PULL VỪA,pattern_history FIRST/day ⨝ lifecycle (QUARANTINE save-clock),100,100,50.0,0.3850073851251192,0.067476383265852,1.2423087333009173,-0.7834051550126949,100,49.0,0.18287760564175085,0.0,1.7993723589480664,-1.2672650402105932,100,41.0,-0.17569619399748995,-0.980892087438423,2.7825985416438903,-2.5330654003084248,PROVISIONAL
MUA EARLY,pattern_history FIRST/day ⨝ lifecycle (QUARANTINE save-clock),1603,1603,47.59825327510917,0.1565784358950115,0.0,1.3189674761576038,-1.044191505593232,1603,53.64940736119775,0.3681724257727533,0.4608294930875667,2.259269673616599,-1.6723411171129374,1603,48.346849656893326,0.11924698762727096,0.0,3.5757919504472757,-3.012805529862396,ADEQUATE_FOR_SETUP_BASELINE_ONLY
MUA BREAK,pattern_history FIRST/day ⨝ lifecycle (QUARANTINE save-clock),0,0,,,,,,0,,,,,,0,,,,,,NO_ROWS
