market_context_key,stock_pattern_key,pattern_key,samples_t3,wins_t3,samples_t5,wins_t5,samples_t10,wins_t10,eligible_t3_to_t5,continued_t3_to_t5,eligible_t5_to_t10,continued_t5_to_t10,eligible_t3_to_t10,continued_t3_to_t10,avg_t3_return_pct,avg_t5_return_pct,avg_t10_return_pct,strong_runners,persistent_winners,flash_winners,first_seen,last_seen,t3_win_rate_pct,t5_win_rate_pct,t10_win_rate_pct,t3_to_t5_rate_pct,t5_to_t10_rate_pct,t3_to_t10_rate_pct,t3_to_t10_lower_bound_pct,continuation_score,persistent_winner_rate_pct,strong_runner_rate_pct,flash_winner_rate_pct,pattern_version,context_version,updated_at,module_version,brain_generation,feature_version
NA|NA|<4,WEAKENING|<45|<-2|2-5|STRONG_NEG|NEGATIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[WEAKENING|<45|<-2|2-5|STRONG_NEG|NEGATIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],8,4,8,5,5,5,4,4,4,4,3,3,2.4312749523720685,2.6759555001118907,9.9335316198384,1,3,0,2026-07-23,2026-07-31,50.0,62.5,100.0,100.0,100.0,100.0,64.62210351258764,72.73807430163292,60.0,20.0,0.0,V4,MARKET_CONTEXT_V1,2026-08-08T01:04:59Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,WEAKENING|<45|<-2|2-5|STRONG_NEG|NEGATIVE|<0.7|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[WEAKENING|<45|<-2|2-5|STRONG_NEG|NEGATIVE|<0.7|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],17,10,17,14,16,13,10,10,13,12,9,8,1.4343789876890327,1.9983002457965706,2.914587664224857,0,8,1,2026-07-23,2026-07-31,58.82352941176471,82.35294117647058,81.25,100.0,92.3076923076923,88.88888888888889,69.16017221550067,72.44905740157394,50.0,0.0,6.25,V4,MARKET_CONTEXT_V1,2026-08-08T01:04:59Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,VERY_WEAK|<45|<-2|-2-0|STRONG_NEG|NEGATIVE|<0.7|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[VERY_WEAK|<45|<-2|-2-0|STRONG_NEG|NEGATIVE|<0.7|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],6,3,6,4,6,6,3,3,4,4,3,3,-0.8446996361646734,2.951347885005699,4.509635102561169,2,3,0,2026-07-24,2026-07-27,50.0,66.66666666666666,100.0,100.0,100.0,100.0,64.62210351258764,72.27275998981884,50.0,33.33333333333333,0.0,V4,MARKET_CONTEXT_V1,2026-08-08T01:04:59Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,WEAK|<45|<-2|>=5|STRONG_NEG|NEGATIVE|<0.7|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[WEAK|<45|<-2|>=5|STRONG_NEG|NEGATIVE|<0.7|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],10,6,10,6,7,6,6,5,5,5,4,4,1.0690111041673833,2.107273218772886,3.115537104099239,0,4,1,2026-07-28,2026-07-31,60.0,60.0,85.71428571428571,83.33333333333334,100.0,100.0,70.89214053679194,71.37479736263329,57.14285714285714,0.0,14.285714285714285,V4,MARKET_CONTEXT_V1,2026-08-08T01:04:59Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|NA,WEAKENING|<45|<-2|>=5|NA|NEUTRAL|NA|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|NA]::DNA[WEAKENING|<45|<-2|>=5|NA|NEUTRAL|NA|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],82,72,82,71,6,5,72,68,4,4,3,3,4.009764748900413,3.227893434943223,4.504014633748155,0,3,4,2026-07-26,2026-08-02,87.8048780487805,86.58536585365853,83.33333333333334,94.44444444444444,100.0,100.0,64.62210351258764,71.16108683182642,50.0,0.0,66.66666666666666,V4,MARKET_CONTEXT_V1,2026-08-08T01:04:59Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,WEAKENING|<45|<-2|>=5|STRONG_NEG|NEGATIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[WEAKENING|<45|<-2|>=5|STRONG_NEG|NEGATIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],10,8,10,8,5,5,8,7,4,4,3,3,1.6861193391442388,2.234613255180743,7.974638860368342,1,3,1,2026-07-23,2026-07-31,80.0,80.0,100.0,87.5,100.0,100.0,64.62210351258764,70.04218502568592,60.0,20.0,20.0,V4,MARKET_CONTEXT_V1,2026-08-08T01:04:59Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,WEAKENING|<45|<-2|>=5|STRONG_NEG|POSITIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[WEAKENING|<45|<-2|>=5|STRONG_NEG|POSITIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],4,3,4,3,3,3,3,3,2,2,2,2,1.3158490143369146,2.7178054062126646,7.8263104838709685,0,2,0,2026-07-23,2026-07-30,75.0,75.0,100.0,100.0,100.0,100.0,54.909236998847554,68.43947302848608,66.66666666666666,0.0,0.0,V4,MARKET_CONTEXT_V1,2026-08-08T01:04:59Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,WEAKENING|<45|<-2|>=5|STRONG_NEG|POSITIVE|<0.7|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[WEAKENING|<45|<-2|>=5|STRONG_NEG|POSITIVE|<0.7|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],11,2,11,9,10,9,2,2,8,8,2,2,-1.5266914006634764,2.05126704805295,2.1258340205840645,0,2,0,2026-07-23,2026-07-30,18.181818181818183,81.81818181818183,90.0,100.0,100.0,100.0,54.909236998847554,68.37522583799661,20.0,0.0,0.0,V4,MARKET_CONTEXT_V1,2026-08-08T01:04:59Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,WEAKENING|<45|<-2|0-2|STRONG_NEG|NEGATIVE|1.2-1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[WEAKENING|<45|<-2|0-2|STRONG_NEG|NEGATIVE|1.2-1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],4,2,4,4,4,4,2,2,4,4,2,2,0.5495707726477228,2.593404884328626,5.991535010768539,1,2,0,2026-07-23,2026-07-28,50.0,100.0,100.0,100.0,100.0,100.0,54.909236998847554,68.36756725683293,50.0,25.0,0.0,V4,MARKET_CONTEXT_V1,2026-08-08T01:04:59Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,VERY_WEAK|<45|<-2|0-2|STRONG_NEG|NEGATIVE|1.0-1.2|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[VERY_WEAK|<45|<-2|0-2|STRONG_NEG|NEGATIVE|1.0-1.2|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],6,2,6,3,6,5,2,2,3,3,2,2,-1.4889609259072845,0.9420119867328713,3.8873458245824835,1,2,0,2026-07-23,2026-07-28,33.33333333333333,50.0,83.33333333333334,100.0,100.0,100.0,54.909236998847554,68.32538445652494,33.33333333333333,16.666666666666664,0.0,V4,MARKET_CONTEXT_V1,2026-08-08T01:04:59Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,WEAKENING|<45|<-2|0-2|STRONG_NEG|NEGATIVE|1.0-1.2|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[WEAKENING|<45|<-2|0-2|STRONG_NEG|NEGATIVE|1.0-1.2|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],10,3,10,6,9,6,3,3,5,5,2,2,-0.22603669025005982,0.8298136753206353,2.0533258275121593,2,2,0,2026-07-23,2026-07-31,30.0,60.0,66.66666666666666,100.0,100.0,100.0,54.909236998847554,68.32031992878726,22.22222222222222,22.22222222222222,0.0,V4,MARKET_CONTEXT_V1,2026-08-08T01:04:59Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
