split,horizon,condition,n,n_symbols,n_dates,mean_ret,median_ret,win_rate,std_ret,mfe_t10_mean,mae_t10_mean,incremental_mean_ret
holdout,10,net_neg,65653,117,1145,-0.003046495129625641,-0.0024449877750610804,0.47511918724201485,0.08615113509547738,0.058071566392860714,-0.06003944208261083,-0.0013709980378074581
holdout,10,net_zero,5359,71,1112,0.0025511204020923044,0.003968253968253954,0.5200597126329539,0.08395331714110893,0.057255019317973506,-0.0524602307676774,0.004226617493910487
all,1,UNCONDITIONAL,336064,117,4399,0.00027052172956704005,0.0,0.4360121881546372,0.02587840591929386,0.0612577610448076,-0.056539378083669344,
all,1,net_pos,139448,117,4399,0.0005649620952869448,0.0,0.4416054730078596,0.026612752567228955,0.06262236192993201,-0.057227069376031725,0.00029444036571990475
all,1,net_neg,139458,117,4398,-2.167489300087436e-05,0.0,0.4435528976466033,0.025716588623646095,0.06094385452286638,-0.05742058905279664,-0.0002921966225679144
all,1,net_zero,57158,108,4361,0.00026509880488750123,0.0,0.4039679484936492,0.024404922920817355,0.0585618309499398,-0.05251219627326136,-5.42292467953882e-06
all,3,UNCONDITIONAL,335776,117,4397,0.0008764564205432013,0.0,0.472261269417707,0.046931710156816575,0.0612577610448076,-0.056539378083669344,
all,3,net_pos,139326,117,4396,0.0011043712742016371,0.0,0.47604897865437895,0.04799866632535535,0.06262236192993201,-0.057227069376031725,0.00022791485365843578
all,3,net_neg,139302,117,4396,0.0004928764483874444,0.0,0.47797590845788285,0.04696295127698669,0.06094385452286638,-0.05742058905279664,-0.00038357997215575693
all,3,net_zero,57148,108,4358,0.0012558046458603792,0.0,0.4490970812626864,0.04413468908727289,0.0585618309499398,-0.05251219627326136,0.00037934822531717784
all,5,UNCONDITIONAL,335534,117,4395,0.001473584219761514,0.0,0.4799603020856307,0.06120912804192597,0.0612577610448076,-0.056539378083669344,
all,5,net_pos,139262,117,4395,0.001951165649127388,0.0,0.4843747756028206,0.06256688345564251,0.06262236192993201,-0.057227069376031725,0.00047758142936587416
all,5,net_neg,139128,117,4393,0.0007344978981134772,0.0,0.48323845667299176,0.06125917901870911,0.06094385452286638,-0.05742058905279664,-0.0007390863216480367
all,5,net_zero,57144,109,4356,0.002109148001469088,0.0,0.4612207755844883,0.05761754464001835,0.0585618309499398,-0.05251219627326136,0.0006355637817075739
all,10,UNCONDITIONAL,334930,117,4390,0.003033573951468164,0.0,0.4868539694861613,0.08820513208317245,0.0612577610448076,-0.056539378083669344,
all,10,net_pos,139038,117,4390,0.003559312042713213,0.0,0.49090176786202333,0.0894946393756294,0.06262236192993201,-0.057227069376031725,0.0005257380912450488
all,10,net_neg,138771,117,4388,0.00210697418077711,0.0,0.48711906666378424,0.08864879044612248,0.06094385452286638,-0.05742058905279664,-0.0009265997706910541
all,10,net_zero,57121,109,4351,0.004004978584581014,0.0,0.4763572066315366,0.08383354158454139,0.0585618309499398,-0.05251219627326136,0.0009714046331128498
