split,h,feat,n,mean,base,incr,wr,symbols
discovery,5,diverge_sell_up,10185,0.002524988088140535,0.0008942975193569891,0.0016306905687835458,0.4580265095729013,66
discovery,5,diverge_buy_down,15094,-0.0007613681330686323,0.0008942975193569891,-0.0016556656524256215,0.45521399231482707,67
discovery,5,abn_buy_z15_px_up,2705,0.005520911919840034,0.0008942975193569891,0.0046266144004830445,0.4565619223659889,64
discovery,10,agree_pos,17653,0.005384502117025271,0.0018146626426922944,0.0035698394743329765,0.46541664306350194,68
discovery,10,px_pos,39934,0.004827969908913148,0.0018146626426922944,0.003013307266220854,0.462212650873942,68
discovery,10,agree_neg,13990,-0.002566541250077359,0.0018146626426922944,-0.0043812038927696535,0.4507505360972123,66
discovery,10,px_neg,42249,-8.911536158169688e-05,0.0018146626426922944,-0.0019037780042739914,0.45960851144405784,67
discovery,10,abn_abs_z20,5944,0.004985779037485759,0.0018146626426922944,0.003171116394793465,0.4813257065948856,64
discovery,10,net_pos,39452,0.0024933966386703186,0.0018146626426922944,0.0006787339959780242,0.46066105647368955,68
discovery,10,net_neg,28981,0.0001612928938471036,0.0018146626426922944,-0.0016533697488451907,0.45478071840171147,68
discovery,10,diverge_sell_up,10189,0.003222858563151224,0.0018146626426922944,0.0014081959204589295,0.46295024045539307,66
discovery,10,diverge_buy_down,15091,0.00020775575794674866,0.0018146626426922944,-0.0016069068847455459,0.46040686501888545,67
discovery,10,abn_buy_z15_px_up,2711,0.00742944967712029,0.0018146626426922944,0.005614787034427996,0.48948727406860937,64
validation,1,agree_pos,23299,0.0023195735266413305,0.0009389364464613706,0.00138063708017996,0.4608352289797845,104
validation,1,px_pos,48213,0.002641816077359567,0.0009389364464613706,0.0017028796308981966,0.4632153153713729,104
validation,1,agree_neg,22863,-0.0007127750756057656,0.0009389364464613706,-0.0016517115220671362,0.45873244980973626,103
validation,1,px_neg,48128,-0.0005926812633685675,0.0009389364464613706,-0.0015316177098299382,0.45162898936170215,104
validation,1,abn_abs_z20,7113,0.0025085988518356375,0.0009389364464613706,0.001569662405374267,0.47631097989596516,101
validation,1,net_pos,44329,0.0009766659284286066,0.0009389364464613706,3.7729481967235996e-05,0.4495251415551896,104
validation,1,net_neg,44142,0.0010020506431234124,0.0009389364464613706,6.311419666204176e-05,0.46021929228399255,103
validation,1,diverge_sell_up,17244,0.0033492734822998076,0.0009389364464613706,0.002410337035838437,0.4741939225237764,103
validation,1,diverge_buy_down,16978,-0.0005757678339594955,0.0009389364464613706,-0.0015147042804208662,0.4462834256096124,104
validation,1,abn_buy_z15_px_up,3560,0.002088494998307396,0.0009389364464613706,0.0011495585518460257,0.45224719101123595,101
validation,3,agree_pos,23296,0.004204395139059537,0.0029343868353261826,0.0012700083037333544,0.49549278846153844,104
validation,3,px_pos,48211,0.004685384293189998,0.0029343868353261826,0.0017509974578638157,0.49710646947792,104
validation,3,agree_neg,22862,0.0018091619384851202,0.0029343868353261826,-0.0011252248968410623,0.5040241448692153,103
validation,3,px_neg,48116,0.0013556678075404647,0.0029343868353261826,-0.0015787190277857179,0.497402111563721,104
validation,3,abn_abs_z20,7111,0.005416060271744713,0.0029343868353261826,0.0024816734364185304,0.5075235550555477,101
validation,3,net_pos,44319,0.0027732702617115222,0.0029343868353261826,-0.00016111657361466032,0.49191091856765723,104
validation,3,net_neg,44143,0.003436982786223475,0.0029343868353261826,0.0005025959508972925,0.5031601839476247,103
validation,3,diverge_sell_up,17245,0.005695100923818631,0.0029343868353261826,0.0027607140884924482,0.5075094230211655,103
validation,3,diverge_buy_down,16974,0.001110584021792549,0.0029343868353261826,-0.0018238028135336335,0.4912807823730411,104
validation,3,abn_buy_z15_px_up,3560,0.002992063351487535,0.0029343868353261826,5.767651616135237e-05,0.47668539325842696,101
validation,5,agree_pos,23303,0.006993628033703388,0.004919132598581162,0.0020744954351222264,0.5169720636827876,104
validation,5,px_pos,48206,0.007446914090342128,0.004919132598581162,0.002527781491760966,0.5167199103845994,104
